mention_url,entry_url
https://semgrep.live,https://r2c.dev/blog/2020/hardcoded-secrets-unverified-tokens-and-other-common-jwt-mistakes/
https://code.visualstudio.com/license,https://vscodium.com/
https://git-scm.com/,https://github.com/augmentable-dev/gitqlite
https://www.hillelwayne.com/post/property-testing-complex-inputs/,https://www.hillelwayne.com/contract-examples/
https://github.com/salsa-rs/salsa,https://www.youtube.com/watch?v=N6b44kMS6OM
https://nix.dev/,https://ghedam.at/15978/an-introduction-to-nix-shell
https://pandas.pydata.org/,https://github.com/pandera-dev/pandera
https://drewdevault.com/2020/08/13/Web-browsers-need-to-stop.html,https://medium.com/young-coder/mozilla-the-greatest-tech-company-left-behind-9e912098a0e1
https://github.com/arnau/addresspack,https://www.geopackage.org/
https://portal.mozz.us/gemini/ebc.li/posts/open-standards-are-simple.gmi,https://medium.com/young-coder/mozilla-the-greatest-tech-company-left-behind-9e912098a0e1
https://towardsdatascience.com/the-rise-of-dataops-from-the-ashes-of-data-governance-da3e0c3ac2c4,https://locallyoptimistic.com/post/git-for-data-not-a-silver-bullet
https://pandas.pydata.org,https://github.com/opensource9ja/danfojs
https://tools.ietf.org/html/rfc8620,https://jmap.io/
https://tools.ietf.org/html/rfc8621,https://jmap.io/
https://nesslabs.com/planning-fallacy,https://nesslabs.com/productivity-porn
https://sgolem.com/halite-iii-bot-development-kit-in-rust,https://halite.io/
https://www.prismmodelchecker.org,https://ahelwer.ca/post/2020-04-15-probabilistic-distsys/
https://julialang.org/,https://paschermayr.github.io/post/statespacemodels-1-a-primer-on-state-space-models/
https://rust-analyzer.github.io//blog/2020/09/16/challeging-LR-parsing.html,https://tratt.net/laurie/blog/entries/which_parsing_approach.html
https://deepnote.com/,https://jupytext.readthedocs.io/
https://jupyter.org/,https://jupytext.readthedocs.io/
http://www.eusprig.org/horror-stories.htm,https://www.tandfonline.com/doi/full/10.1080/00031305.2017.1375989
https://github.com/osohq/oso,https://www.osohq.com/post/polar-adventure
https://sw.kovidgoyal.net/kitty/integrations.html#system-and-data-visualisation-tools,https://sw.kovidgoyal.net/kitty/
https://terminusdb.com/,https://dmytri.dev/terminusdb-todoapp/
https://git-scm.com/docs/git-push#Documentation/git-push.txt---signedtruefalseif-asked,https://people.kernel.org/monsieuricon/signed-git-pushes
https://julialang.org/,https://github.com/fonsp/Pluto.jl
https://www.git-scm.com/docs/git-log#Documentation/git-log.txt--Lltfuncnamegtltfilegt,https://tekin.co.uk/2020/11/patterns-for-searching-git-revision-histories
https://tools.ietf.org/html/rfc3986,https://qqq.is/research/a-practical-guide-to-URI-encoding-and-URI-decoding
https://url.spec.whatwg.org/,https://qqq.is/research/a-practical-guide-to-URI-encoding-and-URI-decoding
https://www.monetdb.org/,https://github.com/MonetDBSolutions/MonetDBe-Python
https://github.com/vmware/differential-datalog,https://chasewilson.dev/blog/intro-to-ddlog/
https://www.harmonysquare.game/,https://misinforeview.hks.harvard.edu/article/breaking-harmony-square-a-game-that-inoculates-against-political-misinformation/
https://bevyengine.org/,https://caballerocoll.com/blog/bevy-chess-tutorial/
https://github.com/drivendataorg/nbautoexport/,https://www.drivendata.co/blog/nbautoexport-jupyter-code-review/
https://implaustin.hashnode.dev/how-to-write-a-terminal-multiplexer-with-rust-async-and-actors-part-2,https://github.com/austinjones/tab-rs
https://sw.kovidgoyal.net/kitty/,https://github.com/Canop/broot
https://github.com/aftix/bacon,https://aftix.xyz/home/bacon/
https://www.scipy.org/,https://aftix.xyz/home/bacon/
